Exercise_name,Exercise_count,Bodypart,Level,Type,YouTube Link
Push-up,15 Reps x 3 Sets,Chest,Beginner,Strength,https://www.youtube.com/embed/F0mFvxZelaE
Barbell Bench Press,10 Reps x 4 Sets,Chest,Intermediate,Strength,https://www.youtube.com/embed/lWFknlOTbyM
Dumbbell Bench Press,12 Reps x 3 Sets,Chest,Intermediate,Strength,https://www.youtube.com/embed/fhguXUQLqeY
Incline Dumbbell Press,12 Reps x 3 Sets,Chest,Intermediate,Strength,https://www.youtube.com/embed/IP4oeKh1Sd4
Dumbbell Flyes,15 Reps x 3 Sets,Chest,Intermediate,Strength,https://www.youtube.com/embed/eozdVDA78K0
Incline Push-up,15 Reps x 3 Sets,Chest,Beginner,Strength,https://www.youtube.com/embed/wAdNL-XhcRk
Decline Barbell Press,10 Reps x 3 Sets,Chest,Advanced,Strength,https://www.youtube.com/embed/LfyQBUKR8SE
Cable Crossovers,15 Reps x 3 Sets,Chest,Intermediate,Strength,https://www.youtube.com/embed/taI4XduLpTk
Machine Chest Press,12 Reps x 3 Sets,Chest,Beginner,Strength,https://www.youtube.com/embed/rY0B8UFdne0
Pec Deck Machine,15 Reps x 3 Sets,Chest,Beginner,Strength,https://www.youtube.com/embed/g3T7LsEeDWQ
Dips (Chest Variation),10 Reps x 4 Sets,Chest,Advanced,Strength,https://www.youtube.com/embed/TrJVszDm7ik
Svend Press,15 Reps x 3 Sets,Chest,Intermediate,Strength,https://www.youtube.com/embed/qKgs6OwFj6c
Dumbbell Pullover,12 Reps x 3 Sets,Chest,Intermediate,Strength,https://www.youtube.com/embed/t_lYFd8pl1M
Incline Barbell Press,10 Reps x 3 Sets,Chest,Intermediate,Strength,https://www.youtube.com/embed/kQtx01Qz6s8
Decline Dumbbell Press,12 Reps x 3 Sets,Chest,Intermediate,Strength,https://www.youtube.com/embed/yQLOvdZrxmw
Single-Arm Dumbbell Press,12 Reps x 3 Sets,Chest,Intermediate,Strength,https://www.youtube.com/embed/0Ckp4XpWGIc
Plyometric Push-up,8 Reps x 4 Sets,Chest,Advanced,Strength,https://www.youtube.com/embed/GR0ZL7f7u18
Weighted Push-up,10 Reps x 4 Sets,Chest,Advanced,Strength,https://www.youtube.com/embed/xZRBXI7we44
Around the Worlds,15 Reps x 3 Sets,Chest,Intermediate,Strength,https://www.youtube.com/embed/TQa0zH8Mvf4
Knee Push-up,20 Reps x 3 Sets,Chest,Beginner,Strength,https://www.youtube.com/embed/q4CFCNMV_A4
Pull-up,8 Reps x 4 Sets,Back,Intermediate,Strength,https://www.youtube.com/embed/iOc-G7kNBiU
Lat Pulldown,12 Reps x 3 Sets,Back,Beginner,Strength,https://www.youtube.com/embed/43hWj8mfYGY
Seated Cable Row,12 Reps x 3 Sets,Back,Beginner,Strength,https://www.youtube.com/embed/vwHG9Jfu4sw
Bent-Over Barbell Row,10 Reps x 4 Sets,Back,Intermediate,Strength,https://www.youtube.com/embed/FWJR5Ve8bnQ
Dumbbell Single-Arm Row,12 Reps x 3 Sets,Back,Beginner,Strength,https://www.youtube.com/embed/dFzUjzfih7k
Deadlift,5 Reps x 5 Sets,Back,Advanced,Strength,https://www.youtube.com/embed/3W-g4SGb26o
